Produit,Cout_Produit_AED,Prix_Vente_AED,Food_Cost_%,Ingredient,Unite,Cout_Unite_AED,Quantite,Sous_Total_Cout_AED,Order_Types,Maj_Par
250 Grames,30.74,0.0,0,Sugar Regular,gms,0.003,250.0,0.74,All,Muhammad Muneer
250 Grames,30.74,0.0,0,Raspberry Fresh,gms,0.12,250.0,30,All,Muhammad Muneer
Almond Croissant,3.59,0.0,0,Almond Croissants,piece,3.587,1.0,3.587,All,Muhammad Muneer
Almond Croissant,3.59,22.0,17.13,Almond Croissants,piece,3.587,1.0,3.587,All,Muhammad Muneer
Almond Milk,1.56,3.0,54.6,Alpro Barista Almond Pro,ml,0.01,150.0,1.559,All,Jawad
Almond Milk V1.5,1.56,3.0,54.6,Alpro Barista Almond Pro,ml,0.01,150.0,1.559,All,Jawad
Americano,2.39,19.0,13.21,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Americano,2.39,19.0,13.21,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Americano,2.39,19.0,13.21,"Water Al Ain bottled 1,5 L",ml,0.001,100.0,0.092,All,Muhammad Muneer
Americano,2.08,0.0,0,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Americano,2.08,0.0,0,"Water Al Ain bottled 1,5 L",ml,0.001,80.0,0.073,All,Muhammad Muneer
Apple Turnover,6.25,18.0,36.46,Vanilla Ice Cream,ml,0.005,100.0,0.483,All,Muhammad Muneer
Apple Turnover,6.25,18.0,36.46,Brownie,Slice,5.768,1.0,5.768,All,Muhammad Muneer
Arabic Bread,1.34,0.0,0,Arabic Bread,piece,1.344,1.0,1.344,All,Muhammad Muneer
Avocado Cream Cheese,47.72,0.0,0,Mix salads,gms,0.032,30.0,0.949,All,Yasser
Avocado Cream Cheese,47.72,0.0,0,Avocado Hass,gms,0.022,100.0,2.2,All,Yasser
Avocado Cream Cheese,47.72,0.0,0,Parsley Leaves,gms,0.009,1.0,0.009,All,Yasser
Avocado Cream Cheese,47.72,0.0,0,Oil Pomace Olive,ml,0.027,5.0,0.135,All,Yasser
Avocado Cream Cheese,47.72,0.0,0,Cheese Cream Elle & Vire,gms,0.031,35.0,1.085,All,Yasser
Avocado Cream Cheese,47.72,0.0,0,Tomato Local,gms,0.004,40.0,0.17,All,Yasser
Avocado Cream Cheese,47.72,0.0,0,Lettuce Mesclun Mix,gms,0.064,15.0,0.964,All,Yasser
Avocado Cream Cheese,47.72,0.0,0,croissant dough,gms,0.603,70.0,42.207,All,Yasser
Avocado creamy cheese croissant,6.21,0.0,0,Lettuce Mesclun Mix,gms,0.064,30.0,1.928,All,Jawad
Avocado creamy cheese croissant,6.21,0.0,0,croissant dough,gms,0.603,1.0,0.603,All,Jawad
Avocado creamy cheese croissant,6.21,0.0,0,Lettuce Romaine,gms,0.006,15.0,0.082,All,Jawad
Avocado creamy cheese croissant,6.21,0.0,0,Oil Pomace Olive,ml,0.027,5.0,0.135,All,Jawad
Avocado creamy cheese croissant,6.21,0.0,0,Parsley Leaves,gms,0.009,1.0,0.009,All,Jawad
Avocado creamy cheese croissant,6.21,0.0,0,Tomato Local,gms,0.004,40.0,0.17,All,Jawad
Avocado creamy cheese croissant,6.21,0.0,0,Cheese Cream Elle & Vire,gms,0.031,35.0,1.085,All,Jawad
Avocado creamy cheese croissant,6.21,0.0,0,Avocado Hass,gms,0.022,100.0,2.2,All,Jawad
Avocado creamy cheese croissant,9.72,39.0,26.17,Parsley Leaves,gms,0.009,1.0,0.009,All,Muhammad Muneer
Avocado creamy cheese croissant,9.72,39.0,26.17,Lettuce Mesclun Mix,gms,0.064,15.0,0.964,All,Muhammad Muneer
Avocado creamy cheese croissant,9.72,39.0,26.17,Tomato Local,gms,0.004,40.0,0.17,All,Muhammad Muneer
Avocado creamy cheese croissant,9.72,39.0,26.17,Mix salads,gms,0.032,100.0,3.163,All,Muhammad Muneer
Avocado creamy cheese croissant,9.72,39.0,26.17,Avocado Hass,gms,0.022,100.0,2.2,All,Muhammad Muneer
